command_line_call, encoded_attr_name_str, num_hash_funct, num_my_attr_val, num_ot_attr_val, num_common_attr_val, jacc_common_perc, my_num_q_gram, ot_num_q_gram, num_all_q_gram, num_common_q_gram, bf_seg_len, bf_seg_perc, my_num_q_gram_bf_seg, my_min_num_bit_pos, my_avr_num_bit_pos, my_med_num_bit_pos, my_max_num_bit_pos, ot_num_q_gram_bf_seg, ot_min_num_bit_pos, ot_avr_num_bit_pos, ot_med_num_bit_pos, ot_max_num_bit_pos, atom_num_corr_1_1_attr_matches, atom_num_corr_1_m_attr_matches, atom_num_wrong_1_matches,atom_num_wrong_m_matches, atom_num_no_matches
bf-segment-attack.py 2 RH opt 1000 ncvoter-20140619-temporal-balanced-ratio-1to1-a.csv.gz ncvoter-20140619-temporal-balanced-ratio-1to1-b.csv.gz 0 comma True [3] [50;25;10;5;2;1] 1000, first_name,123,22146,22312,14062,46.3,755,779,830,704,500, 50%,755,39,58.11,58,74,779,39,58.02,58,73,675,325,0,0,0
bf-segment-attack.py 2 RH opt 1000 ncvoter-20140619-temporal-balanced-ratio-1to1-a.csv.gz ncvoter-20140619-temporal-balanced-ratio-1to1-b.csv.gz 0 comma True [3] [50;25;10;5;2;1] 1000, first_name,123,22146,22312,14062,46.3,755,779,830,704,250, 25%,755,12,29.04,29,44,779,12,29.01,29,44,689,310,0,0,1
bf-segment-attack.py 2 RH opt 1000 ncvoter-20140619-temporal-balanced-ratio-1to1-a.csv.gz ncvoter-20140619-temporal-balanced-ratio-1to1-b.csv.gz 0 comma True [3] [50;25;10;5;2;1] 1000, first_name,123,22146,22312,14062,46.3,755,779,830,704,100, 10%,755,3,11.57,11,23,779,3,11.55,11,23,681,318,1,0,0
bf-segment-attack.py 2 RH opt 1000 ncvoter-20140619-temporal-balanced-ratio-1to1-a.csv.gz ncvoter-20140619-temporal-balanced-ratio-1to1-b.csv.gz 0 comma True [3] [50;25;10;5;2;1] 1000, first_name,123,22146,22312,14062,46.3,755,779,830,704,50, 5%,754,1,5.81,6,16,778,1,5.78,6,16,425,441,78,56,0
bf-segment-attack.py 2 RH opt 1000 ncvoter-20140619-temporal-balanced-ratio-1to1-a.csv.gz ncvoter-20140619-temporal-balanced-ratio-1to1-b.csv.gz 0 comma True [3] [50;25;10;5;2;1] 1000, first_name,123,22146,22312,14062,46.3,755,779,830,704,20, 2%,687,1,2.53,2,8,710,1,2.53,2,8,7,35,317,641,0
bf-segment-attack.py 2 RH opt 1000 ncvoter-20140619-temporal-balanced-ratio-1to1-a.csv.gz ncvoter-20140619-temporal-balanced-ratio-1to1-b.csv.gz 0 comma True [3] [50;25;10;5;2;1] 1000, first_name,123,22146,22312,14062,46.3,755,779,830,704,10, 1%,536,1,1.6,1,5,560,1,1.57,1,5,0,2,337,661,0
bf-segment-attack.py 2 RH opt_half 1000 ncvoter-20140619-temporal-balanced-ratio-1to1-a.csv.gz ncvoter-20140619-temporal-balanced-ratio-1to1-b.csv.gz 0 comma True [3] [50;25;10;5;2;1] 1000, first_name,62,22146,22312,14062,46.3,755,779,830,704,500, 50%,755,18,30.21,30,42,779,18,30.22,30,42,671,329,0,0,0
bf-segment-attack.py 2 RH opt_half 1000 ncvoter-20140619-temporal-balanced-ratio-1to1-a.csv.gz ncvoter-20140619-temporal-balanced-ratio-1to1-b.csv.gz 0 comma True [3] [50;25;10;5;2;1] 1000, first_name,62,22146,22312,14062,46.3,755,779,830,704,250, 25%,755,7,15.03,15,25,779,7,15.05,15,25,691,308,0,0,1
bf-segment-attack.py 2 RH opt_half 1000 ncvoter-20140619-temporal-balanced-ratio-1to1-a.csv.gz ncvoter-20140619-temporal-balanced-ratio-1to1-b.csv.gz 0 comma True [3] [50;25;10;5;2;1] 1000, first_name,62,22146,22312,14062,46.3,755,779,830,704,100, 10%,754,1,6.08,6,13,778,1,6.05,6,13,630,335,22,13,0
bf-segment-attack.py 2 RH opt_half 1000 ncvoter-20140619-temporal-balanced-ratio-1to1-a.csv.gz ncvoter-20140619-temporal-balanced-ratio-1to1-b.csv.gz 0 comma True [3] [50;25;10;5;2;1] 1000, first_name,62,22146,22312,14062,46.3,755,779,830,704,50, 5%,732,1,3.14,3,9,752,1,3.14,3,9,157,295,201,347,0
bf-segment-attack.py 2 RH opt_half 1000 ncvoter-20140619-temporal-balanced-ratio-1to1-a.csv.gz ncvoter-20140619-temporal-balanced-ratio-1to1-b.csv.gz 0 comma True [3] [50;25;10;5;2;1] 1000, first_name,62,22146,22312,14062,46.3,755,779,830,704,20, 2%,548,1,1.66,1,5,569,1,1.66,1,5,1,9,247,743,0
bf-segment-attack.py 2 RH opt_half 1000 ncvoter-20140619-temporal-balanced-ratio-1to1-a.csv.gz ncvoter-20140619-temporal-balanced-ratio-1to1-b.csv.gz 0 comma True [3] [50;25;10;5;2;1] 1000, first_name,62,22146,22312,14062,46.3,755,779,830,704,10, 1%,356,1,1.26,1,3,381,1,1.26,1,3,0,2,234,764,0
bf-segment-attack.py 2 RH opt_quarter 1000 ncvoter-20140619-temporal-balanced-ratio-1to1-a.csv.gz ncvoter-20140619-temporal-balanced-ratio-1to1-b.csv.gz 0 comma True [3] [50;25;10;5;2;1] 1000, first_name,31,22146,22312,14062,46.3,755,779,830,704,500, 50%,755,8,15.2,15,23,779,8,15.21,15,23,664,336,0,0,0
